ID,SMILES
ADN,*[C]1O[C](*)[C](O)[C]1O
ADN,*[C]1O[C](CO)[C](O)[C]1O
ADN,*CO
ADN,*n1cnc2c(N)ncnc21
ADN,*[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*[C]1O[C](*)[C](O)[C]1O
ADP,*OP(=O)(O)OC[C]1O[C](*)[C](O)[C]1O
ADP,*COP(=O)(O)O*
ADP,*OC[C]1O[C](*)[C](O)[C]1O
ADP,*n1cnc2c(N)ncnc21
ADP,*C*
ADP,*P(*)(=O)O
ADP,*[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*P(=O)(O)OP(=O)(O)O
ADP,*OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*COP(*)(=O)O
ADP,*OP(*)(=O)O
ADP,*COP(=O)(O)OP(=O)(O)O
ADP,*C[C]1O[C](*)[C](O)[C]1O
ADP,*OP(=O)(O)O
ADP,*OP(=O)(O)OP(=O)(O)O
ADP,*O*
ADP,*[C]1O[C](COP(*)(=O)O)[C](O)[C]1O
ADP,*P(=O)(O)O
ADP,*OP(=O)(O)O*
ADP,*[C]1O[C](COP(=O)(O)OP(=O)(O)O)[C](O)[C]1O
ADP,*OP(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*C[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*P(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*CO*
AKN,*C*
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O*)[C](O)[C]1O*
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](*)O)C[C](N)[C](O[C]3O[C](CN)[C](O)[C](O)[C]3O)[C]2O)[C](O)[C](N)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](*)O)C[C](N)[C](*)[C]2O)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](*)[C](O)[C]1O*
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*[C]1[C](NC(=O)[C](O)CCN)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](*)[C](O)[C]1*
AKN,*CCN
AKN,*O[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](O[C]2O[C](*)[C](O)[C](N)[C]2O)[C]1O
AKN,*NC(=O)[C](*)O
AKN,*[C]1O[C](O[C]2[C](N)C[C](NC(=O)[C](*)O)[C](O[C]3O[C](CO)[C](O)[C](N)[C]3O)[C]2O)[C](O)[C](O)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](NC(=O)[C](*)O)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1*
AKN,*O[C]1[C](*)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*O[C]1[C](*)C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C]1O
AKN,*N[C]1C[C](N)[C](*)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*C(=O)[C](O)CCN
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1*
AKN,*[C]1O[C](O[C]2[C](N)C[C](NC(=O)[C](*)O)[C](*)[C]2O)[C](O)[C](O)[C]1O
AKN,*[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1*
AKN,*[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](O)CCN)C[C](N)[C](O[C]3O[C](CN)[C](O)[C](O)[C]3O)[C]2O)[C](O)[C](N)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](O)CCN)C[C](N)[C](O[C]3O[C](*)[C](O)[C](O)[C]3O)[C]2O)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](NC(=O)[C](O)CCN)C[C](N)[C](*)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](NC(=O)[C](*)O)C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O*)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](*)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O*
AKN,*[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O*
AKN,*O[C]1[C](N)C[C](*)[C](O[C]2O[C](*)[C](O)[C](N)[C]2O)[C]1O
AKN,*O[C]1[C](NC(=O)[C](*)O)C[C](N)[C](*)[C]1O
AKN,*N*
AKN,*[C]1[C](NC(*)=O)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1*
AKN,*O[C]1[C](*)C[C](N)[C](O*)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](O)CCN)C[C](N)[C](*)[C]2O)[C](O)[C](N)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*N[C]1C[C](N)[C](O*)[C](O)[C]1*
AKN,*[C]1[C](N)C[C](NC(=O)[C](*)O)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*[C]1O[C](CN)[C](O)[C](O)[C]1O
AKN,*C[C](*)O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1*
AKN,*O[C]1[C](N)C[C](NC(=O)[C](*)O)[C](O*)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(*)=O)C[C](N)[C](*)[C]2O)[C](O)[C](N)[C]1O
AKN,*O[C]1O[C](*)[C](O)[C](O)[C]1O
AKN,*O[C]1[C](NC(=O)[C](O)CCN)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*O[C]1[C](N)C[C](NC(*)=O)[C](*)[C]1O
AKN,*[C]1C[C](N)[C](*)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*N[C]1C[C](N)[C](O*)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](NC(=O)[C](O)CCN)C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C]1O
AKN,*C[C](O)C(=O)N*
AKN,*C(*)=O
AKN,*[C]1O[C](O[C]2[C](N)C[C](NC(=O)[C](O)CCN)[C](*)[C]2O)[C](O)[C](O)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O*
AKN,*[C]1[C](N)C[C](NC(*)=O)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*N[C]1C[C](N)[C](*)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O*)[C](O)[C]1*
AKN,*C[C](O)C(*)=O
AKN,*[C]1O[C](*)[C](O)[C](O)[C]1O
AKN,*N[C]1C[C](N)[C](O*)[C](O)[C]1O*
AKN,*CO
AKN,*CN
AKN,*[C]1C[C](N)[C](*)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](*)[C]1O
AKN,*O[C]1O[C](CN)[C](O)[C](O)[C]1O
AKN,*O[C]1[C](NC(*)=O)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*[C]1C[C](N)[C](*)[C](O)[C]1*
AKN,*[C]1O[C](O[C]2[C](N)C[C](NC(*)=O)[C](O[C]3O[C](CO)[C](O)[C](N)[C]3O)[C]2O)[C](O)[C](O)[C]1O
AKN,*N[C]1C[C](N)[C](*)[C](O)[C]1*
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O*)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](*)C[C](N)[C](*)[C]1O
AKN,*[C]1[C](N)C[C](NC(*)=O)[C](*)[C]1O
AKN,*[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O*
AKN,*O[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](O*)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(*)=O)C[C](N)[C](O[C]3O[C](*)[C](O)[C](O)[C]3O)[C]2O)[C](O)[C](N)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](*)O)C[C](N)[C](O[C]3O[C](*)[C](O)[C](O)[C]3O)[C]2O)[C](O)[C](N)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1*
AKN,*[C](*)O
AKN,*[C](O)CCN
AKN,*O[C]1[C](NC(*)=O)C[C](N)[C](*)[C]1O
AKN,*N[C]1C[C](N)[C](O*)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*[C]1[C](N)C[C](NC(=O)[C](*)O)[C](*)[C]1O
AKN,*O[C]1[C](N)C[C](NC(*)=O)[C](O*)[C]1O
AKN,*O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(*)=O)C[C](N)[C](O[C]3O[C](CN)[C](O)[C](O)[C]3O)[C]2O)[C](O)[C](N)[C]1O
AKN,*[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*[C]1[C](NC(=O)[C](*)O)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*O[C]1[C](N)C[C](NC(*)=O)[C](O[C]2O[C](*)[C](O)[C](N)[C]2O)[C]1O
AKN,*[C]1O[C](O[C]2[C](N)C[C](NC(=O)[C](O)CCN)[C](O[C]3O[C](CO)[C](O)[C](N)[C]3O)[C]2O)[C](O)[C](O)[C]1O
AKN,*NC(=O)[C](O)CCN
AKN,*O[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](*)[C]1O
AKN,*N[C]1C[C](N)[C](*)[C](O)[C]1O*
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](*)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](N)C[C](*)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*O[C]1[C](N)C[C](NC(*)=O)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*O[C]1[C](NC(*)=O)C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C]1O
AKN,*[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O*
AKN,*O[C]1[C](N)C[C](NC(=O)[C](*)O)[C](O[C]2O[C](*)[C](O)[C](N)[C]2O)[C]1O
AKN,*O[C]1[C](N)C[C](*)[C](*)[C]1O
AKN,*[C](O)C(*)=O
AKN,*[C]1O[C](O[C]2[C](N)C[C](NC(*)=O)[C](*)[C]2O)[C](O)[C](O)[C]1O
AKN,*O[C]1[C](N)C[C](NC(=O)[C](*)O)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*O[C]1[C](N)C[C](NC(=O)[C](*)O)[C](*)[C]1O
AKN,*NC(*)=O
AM2,*NC
AM2,*[C]1O[C]2[C](C[C]1N)O[C](*)[C](NC)[C]2O
AM2,*[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](*)[C](N)[C](O)[C]1O)[C](NC)[C]2O
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](*)[C](NC)[C]2O
AM2,*[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](CO)[C](N)[C](O)[C]1O)[C](NC)[C]2O
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](*)[C](*)[C]2O
AM2,*CO
AM2,*O[C]1O[C]2C[C](N)[C](O[C]3[C](N)C[C](N)[C](O)[C]3O)O[C]2[C](O)[C]1*
AM2,*[C]1[C](N)C[C](N)[C](O)[C]1O
AM2,*[C]1O[C]2C[C](N)[C](O[C]3[C](N)C[C](N)[C](O)[C]3O)O[C]2[C](O)[C]1NC
AM2,*O[C]1O[C](*)[C](N)[C](O)[C]1O
AM2,*[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](*)[C](N)[C](O)[C]1O)[C](*)[C]2O
AM2,*O[C]1O[C]2C[C](N)[C](O[C]3[C](N)C[C](N)[C](O)[C]3O)O[C]2[C](O)[C]1NC
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](CO)[C](N)[C](O)[C]1O)[C](NC)[C]2O
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](O*)[C](*)[C]2O
AM2,*[C]1O[C](*)[C](O)[C](O)[C]1N
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](*)[C](N)[C](O)[C]1O)[C](NC)[C]2O
AM2,*[C]1O[C](CO)[C](N)[C](O)[C]1O
AM2,*[C]1[C](O[C]2O[C](CO)[C](N)[C](O)[C]2O)O[C]2C[C](N)[C](O[C]3[C](N)C[C](N)[C](O)[C]3O)O[C]2[C]1O
AM2,*[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](CO)[C](N)[C](O)[C]1O)[C](*)[C]2O
AM2,*O[C]1O[C]2C[C](N)[C](*)O[C]2[C](O)[C]1*
AM2,*[C]1O[C]2[C](C[C]1N)O[C](*)[C](*)[C]2O
AM2,*[C]1O[C]2C[C](N)[C](O[C]3[C](N)C[C](N)[C](O)[C]3O)O[C]2[C](O)[C]1*
AM2,*[C]1O[C](O[C]2O[C]3C[C](N)[C](O[C]4[C](N)C[C](N)[C](O)[C]4O)O[C]3[C](O)[C]2NC)[C](O)[C](O)[C]1N
AM2,*O[C]1[C](N)C[C](N)[C](O)[C]1O
AM2,*O*
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](*)[C](N)[C](O)[C]1O)[C](*)[C]2O
AM2,*O[C]1O[C](CO)[C](N)[C](O)[C]1O
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](O[C]1O[C](CO)[C](N)[C](O)[C]1O)[C](*)[C]2O
AM2,*[C]1O[C](O[C]2O[C]3C[C](N)[C](O[C]4[C](N)C[C](N)[C](O)[C]4O)O[C]3[C](O)[C]2*)[C](O)[C](O)[C]1N
AM2,*O[C]1O[C]2[C](C[C]1N)O[C](O*)[C](NC)[C]2O
AM2,*O[C]1O[C]2C[C](N)[C](*)O[C]2[C](O)[C]1NC
AMP,*OP(=O)(O)O
AMP,*[C]1O[C](*)[C](O)[C]1O
AMP,*C*
AMP,*n1cnc2c(N)ncnc21
AMP,*O*
AMP,*OC[C]1O[C](*)[C](O)[C]1O
AMP,*P(=O)(O)O
AMP,*[C]1O[C](COP(=O)(O)O)[C](O)[C]1O
AMP,*[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
AMP,*OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
AMP,*COP(=O)(O)O
AMP,*C[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
AMP,*CO*
AMP,*C[C]1O[C](*)[C](O)[C]1O
AMZ,*OP(=O)(O)O
AMZ,*[C]1O[C](*)[C](O)[C]1O
AMZ,*OC[C]1O[C](n2cnc(*)c2N)[C](O)[C]1O
AMZ,*C*
AMZ,*O*
AMZ,*OC[C]1O[C](*)[C](O)[C]1O
AMZ,*[C]1O[C](n2cnc(*)c2N)[C](O)[C]1O
AMZ,*n1cnc(C(N)=O)c1N
AMZ,*P(=O)(O)O
AMZ,*[C]1O[C](COP(=O)(O)O)[C](O)[C]1O
AMZ,*c1ncn(*)c1N
AMZ,*C[C]1O[C](n2cnc(C(N)=O)c2N)[C](O)[C]1O
AMZ,*OC[C]1O[C](n2cnc(C(N)=O)c2N)[C](O)[C]1O
AMZ,*c1ncn([C]2O[C](COP(=O)(O)O)[C](O)[C]2O)c1N
AMZ,*COP(=O)(O)O
AMZ,*C(N)=O
AMZ,*[C]1O[C](n2cnc(C(N)=O)c2N)[C](O)[C]1O
AMZ,*CO*
AMZ,*C[C]1O[C](n2cnc(*)c2N)[C](O)[C]1O
AMZ,*C[C]1O[C](*)[C](O)[C]1O
ANG,Nc1nc2[nH]c(N)nc2c(=O)[nH]1
ARG,*[C](*)N
ARG,*NCCC[C](N)C(=O)O
ARG,*C*
ARG,*CC[C](*)N
ARG,*N*
ARG,*CCC[C](*)N
ARG,*NCCC[C](*)N
ARG,*NC(=[N+])N
ARG,*CCNC(=[N+])N
ARG,*CCC*
ARG,*CCCN*
ARG,*CC[C](N)C(=O)O
ARG,*CCCNC(=[N+])N
ARG,*[C](N)C(=O)O
ARG,*CN*
ARG,*[C](N)CCCNC(=[N+])N
ARG,*CNC(=[N+])N
ARG,*C[C](*)N
ARG,*CC*
ARG,*C(=[N+])N
ARG,*CCN*
ARG,*C[C](N)C(=O)O
ARG,*CCC[C](N)C(=O)O
ARG,*C(=O)O
ATP,*[C]1O[C](*)[C](O)[C]1O
ATP,*OP(=O)(O)OC[C]1O[C](*)[C](O)[C]1O
ATP,*COP(=O)(O)O*
ATP,*[C]1O[C](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C](O)[C]1O
ATP,*OC[C]1O[C](*)[C](O)[C]1O
ATP,*n1cnc2c(N)ncnc21
ATP,*C*
ATP,*OP(=O)(O)OP(=O)(O)OC[C]1O[C](*)[C](O)[C]1O
ATP,*P(*)(=O)O
ATP,*[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ATP,*P(=O)(O)OP(=O)(O)O
ATP,*OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ATP,*OP(=O)(O)OP(=O)(O)OP(=O)(O)O
ATP,*OP(=O)(O)OP(=O)(O)O*
ATP,*[C]1O[C](COP(=O)(O)OP(*)(=O)O)[C](O)[C]1O
ATP,*COP(*)(=O)O
ATP,*COP(=O)(O)OP(=O)(O)OP(=O)(O)O
ATP,*OP(*)(=O)O
ATP,*C[C]1O[C](*)[C](O)[C]1O
ATP,*OP(=O)(O)O
ATP,*OP(=O)(O)OP(=O)(O)O
ATP,*O*
ATP,*[C]1O[C](COP(*)(=O)O)[C](O)[C]1O
ATP,*P(=O)(O)O
ATP,*P(=O)(O)OP(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ATP,*P(=O)(O)OP(=O)(O)OP(=O)(O)O
ATP,*P(=O)(O)OP(*)(=O)O
ATP,*COP(=O)(O)OP(*)(=O)O
ATP,*OP(=O)(O)O*
ATP,*OP(=O)(O)OP(*)(=O)O
ATP,*OP(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ATP,*C[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ATP,*P(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ATP,*OP(=O)(O)OP(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ATP,*CO*
ATP,*COP(=O)(O)OP(=O)(O)O*
BER,*c1ccc2cc3[n+](cc2c1*)CCc1cc2c(cc1-3)OCO2
BER,*c1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
BER,*OC
BER,*c1c(OC)ccc2cc3[n+](cc12)CCc1cc2c(cc1-3)OCO2
BLS,*CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1*
BLS,*C[C](N)CC(*)=O
BLS,*[C](*)N
BLS,*C*
BLS,*C[C](N)CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*C[C](N)CCN(C)C(=N)N
BLS,*CCN(C)C(=N)N
BLS,*C(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*[C](N)CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*C[C](N)C*
BLS,*CC[C](*)N
BLS,*CC[C](N)CC(*)=O
BLS,*N[C]1C=C[C](*)O[C]1*
BLS,*NC(=O)C[C](N)CCN(*)C
BLS,*C[C](N)CCN(*)C
BLS,*[C]1O[C](n2ccc(N)nc2=O)C=C[C]1NC(=O)C[C](N)CCN(*)C
BLS,*N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1*
BLS,*CC[C](N)CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*[C](N)CC(=O)N[C]1C=C[C](*)O[C]1*
BLS,*NC(=O)C[C](*)N
BLS,*[C]1C=C[C](*)[C](*)O1
BLS,*[C]1C=C[C](n2ccc(N)nc2=O)O[C]1*
BLS,*C[C](N)CC(=O)N[C]1C=C[C](*)O[C]1*
BLS,*[C]1C=C[C](*)[C](C(=O)O)O1
BLS,*[C](N)CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1*
BLS,*[C]1C=C[C](NC(=O)C[C](N)CCN(*)C)[C](*)O1
BLS,*N(C)CC[C](N)CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*[C](N)CCN(*)C
BLS,*C[C](*)N
BLS,*CC[C](N)CC(=O)N[C]1C=C[C](*)O[C]1C(=O)O
BLS,*N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*CC*
BLS,*CC[C](N)CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1*
BLS,*C[C](N)CC(=O)N*
BLS,*C[C](N)CC(=O)N[C]1C=C[C](*)O[C]1C(=O)O
BLS,*CCN(*)C
BLS,*CC[C](N)CC(=O)N*
BLS,*[C]1C=C[C](NC(=O)C[C](N)CCN(C)C(=N)N)[C](*)O1
BLS,*CC(=O)N[C]1C=C[C](*)O[C]1*
BLS,*N(C)C(=N)N
BLS,*[C]1C=C[C](NC(=O)C[C](N)CCN(*)C)[C](C(=O)O)O1
BLS,*N*
BLS,*[C](N)CC(*)=O
BLS,*N[C]1C=C[C](*)O[C]1C(=O)O
BLS,*C(=O)C[C](N)CCN(*)C
BLS,*CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1C(=O)O
BLS,*[C]1C=C[C](NC(=O)C[C](N)CCN(C)C(=N)N)[C](C(=O)O)O1
BLS,*CC(*)=O
BLS,*C(=N)N
BLS,*CC(=O)N*
BLS,*[C](N)CC(=O)N[C]1C=C[C](*)O[C]1C(=O)O
BLS,*NC(=O)C[C](N)CCN(C)C(=N)N
BLS,*[C]1C=C[C](NC(*)=O)[C](*)O1
BLS,*[C]1O[C](n2ccc(N)nc2=O)C=C[C]1NC(=O)C[C](N)CCN(C)C(=N)N
BLS,*[C]1C=C[C](NC(*)=O)[C](C(=O)O)O1
BLS,*CC(=O)N[C]1C=C[C](*)O[C]1C(=O)O
BLS,*N(*)C
BLS,*C(=O)C[C](N)CCN(C)C(=N)N
BLS,*n1ccc(N)nc1=O
BLS,*CC[C](N)CC(=O)N[C]1C=C[C](*)O[C]1*
BLS,*[C]1O[C](n2ccc(N)nc2=O)C=C[C]1NC(*)=O
BLS,*[C](N)CCN(C)C(=N)N
BLS,*C[C](N)CC(=O)N[C]1C=C[C](n2ccc(N)nc2=O)O[C]1*
BLS,*CC[C](N)C*
BLS,*C(*)=O
BLS,*NC(*)=O
BLS,*CN(C)C(=N)N
BLS,*CN(*)C
BLS,*C(=O)O
BTN,*CCC(=O)O
BTN,*CCC[C]1SC[C]2NC(=O)N[C]21
BTN,*CCCC[C]1SC[C]2NC(=O)N[C]21
BTN,*CCC*
BTN,*C*
BTN,*CC[C]1SC[C]2NC(=O)N[C]21
BTN,*C[C]1SC[C]2NC(=O)N[C]21
BTN,*CCCC(=O)O
BTN,*[C]1SC[C]2NC(=O)N[C]21
BTN,*CC*
BTN,*CC(=O)O
BTN,*CCCCC(=O)O
BTN,*CCCC*
BTN,*C(=O)O
C2E,*[C]1O[C]2COP(=O)(O)O[C]3[C](COP(=O)(O)O[C]2[C]1O)O[C](n1cnc2c(=O)[nH]c(N)nc21)[C]3O
C2E,*[C]1O[C]2COP(=O)(O)O[C]3[C](COP(=O)(O)O[C]2[C]1O)O[C](*)[C]3O
C2E,*n1cnc2c(=O)[nH]c(N)nc21
